dest_id,address,geoRef.lat,geoRef.lng
187,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52710467,-100.2051071
188,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.5279617,-100.2012882
189,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52839398,-100.203449
190,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.5288859,-100.208392
191,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52892176,-100.2018854
192,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52933502,-100.2025922
193,"Avenida José Vasconcelos 1567, Zona Valle del Mezquite, 66230 San Pedro Garza García, N.L., México",25.52933502,-100.2025922
194,"Avenida José Vasconcelos 1567, Zona Valle del Mezquite, 66240 San Pedro Garza García, N.L., México",25.5293353,-100.2025924
195,"Avenida José Vasconcelos 1567, Zona Valle del Mezquite, 66240 San Pedro Garza García, N.L., México",25.5297893,-100.2158787
196,"Avenida José Vasconcelos 158, Jardines del Campestre, 66273 San Pedro Garza García, N.L., México",25.5297988,-100.2043865
197,"Avenida José Vasconcelos 158, Jardines del Campestre, 66273 San Pedro Garza García, N.L., México",25.52989301,-100.2877144
198,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.53002058,-100.2054333
199,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.53002058,-100.2054333
200,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.53077679,-100.2071005
201,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.53171284,-100.1996939
202,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.53208903,-100.2106442
203,"Avenida José Vasconcelos 160, Santa Engracia, 66250 San Pedro Garza García, N.L., México, San Pedro Garza García",25.532204,-100.209314
204,"Avenida José Vasconcelos 220, Residencial San Agustín 2o Sector, 66220 San Pedro Garza García, N.L., México",25.532386,-100.209815
205,"Avenida José Vasconcelos 220, Residencial San Agustín 2o Sector, San Pedro Garza García, Nuevo Leon",25.532466,-100.208477
206,"Avenida José Vasconcelos 221, Zona Santa Engracia, 66267 San Pedro Garza García, N.L., México",25.532511,-100.208476
207,"Avenida José Vasconcelos 230, Tampiquito, 66240 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5327778,-100.2046108
208,"Avenida José Vasconcelos 230, Tampiquito, 66240 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5328538,-100.2088558
209,"Avenida José Vasconcelos 232-234, Col. del Valle, San Pedro, Garza García, N.L.",25.5330841,-100.2110791
210,"Avenida José Vasconcelos 240, Col. del Valle, Bosques del Valle 1er Sector, 66220 San Pedro Garza García, N.L., Mexico",25.5336108,-100.2097312
211,"Avenida José Vasconcelos 245, Privada Sierra Madre, San Pedro Garza García, Nuevo Leon",25.53368246,-100.2082081
212,"Avenida José Vasconcelos 245, Privada Sierra Madre, San Pedro Garza García, Nuevo León",25.5336826,-100.2082082
213,"Avenida José Vasconcelos 250_2, Lomas del Valle, 66220 Monterrey, N.L., México, Monterrey",25.53368263,-100.2082082
214,"Avenida José Vasconcelos 250_2, Lomas del Valle, 66220 Monterrey, N.L., México, Monterrey",25.533683,-100.208208
215,"Avenida José Vasconcelos 250_4, Lomas del Valle, 66220 Monterrey, N.L., Mexico",25.534276,-100.210378
216,"Avenida José Vasconcelos 250_4, Lomas del Valle, 66220 Monterrey, N.L., Mexico",25.5342853,-100.2103728
217,"Avenida José Vasconcelos 250_4, Lomas del Valle, 66220 Monterrey, N.L., Mexico",25.534379,-100.206394
218,"Avenida José Vasconcelos 250_4, Lomas del Valle, 66220 Monterrey, N.L., Mexico",25.53661395,-100.2046062
219,"Avenida José Vasconcelos 33, Del Valle Sector Fátima, 66220 San Pedro Garza García, N.L., México, San Pedro Garza García",25.537047,-100.206559
220,"Avenida José Vasconcelos 342, Barrio Tampiquito, Tampiquito, San Pedro Garza García, N.L.",25.5383986,-100.2125904
221,"Avenida José Vasconcelos 342, Barrio Tampiquito, Tampiquito, San Pedro Garza García, N.L.",25.53858231,-100.2074968
222,"Avenida José Vasconcelos 345, Zona Santa Engracia, 66267 San Pedro Garza García, N.L.",25.5391513,-100.2344504
223,"Avenida José Vasconcelos 345, Zona Santa Engracia, 66267 San Pedro Garza García, N.L., México",25.5392011,-100.2365822
224,"Avenida José Vasconcelos 355, Zona Campestre, 66267 San Pedro Garza García, N.L.",25.5392011,-100.236582
225,"Avenida José Vasconcelos 402, Valle de Santa Engracia, San Pedro Garza García, N.L.",25.539435,-100.234673
226,"Avenida José Vasconcelos 402, Valle de Santa Engracia, San Pedro Garza García, Nuevo Leon",25.5395414,-100.2080041
227,"Avenida José Vasconcelos 404, Bosques del Valle 1er Sector, 66250 San Pedro Garza García, N.L., México",25.5397328,-100.2160487
228,"Avenida José Vasconcelos 455, Del Valle, 66240 San Pedro Garza García, N.L., México",25.541297,-100.236148
229,"Avenida José Vasconcelos 455, Del Valle, 66240 San Pedro Garza García, N.L., México",25.541391,-100.23788
230,"Avenida José Vasconcelos 501C, Del Valle, 66220 San Pedro Garza García, N.L., México, San Pedro Garza García",25.541542,-100.233329
231,"Avenida José Vasconcelos 507, Del Valle, 66240 San Pedro Garza García, N.L., Mexico",25.541832,-100.233465
232,"Avenida José Vasconcelos 507, Del Valle, 66240 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5420261,-100.2336255
233,"Avenida José Vasconcelos 600, Valle del Campestre, San Pedro Garza García, Nuevo Leon",25.542062,-100.2240726
234,"Avenida José Vasconcelos 618, Casco Urbano, 66230 San Pedro Garza García, N.L.",25.542698,-100.221048
235,"Avenida José Vasconcelos 618, Casco Urbano, 66230 San Pedro Garza García, N.L.",25.5427295,-100.2372347
236,"Avenida José Vasconcelos 640, 66220 San Pedro Garza García, N.L., Mexico",25.54300095,-100.2330383
237,"Avenida José Vasconcelos 710, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.5430455,-100.2127603
238,"Avenida José Vasconcelos 710, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.54314903,-100.2203083
239,"Avenida José Vasconcelos 725_4, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.54314903,-100.2203083
